workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
ResNet-50,1,r50_bt1a,OS,ROW_MAJOR,OS-RM,16,65536,16,4,478494.72,869,1.0,2.9562844649021863e-05,1.18,277086208.0
ResNet-50,1,r50_bt1a,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,454164.48000000004,869,1.0,2.9562844649021863e-05,1.12,263323648.0
ResNet-50,1,r50_bt1a,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,405504.0,869,1.0,2.9562844649021863e-05,1.0,235798528.0
ResNet-50,1,r50_bt1a,IS,ROW_MAJOR,IS-RM,16,65536,16,4,405504.0,3397,0.2558139534883721,7.562588166028849e-06,1.0,235798528.0
ResNet-50,1,r50_bt1a,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,446054.4,3397,0.2558139534883721,7.562588166028849e-06,1.1,258736128.0
ResNet-50,1,r50_bt1a,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,494714.88,3397,0.2558139534883721,7.562588166028849e-06,1.22,286261248.0
ResNet-50,1,r50_bt1a,WS,ROW_MAJOR,WS-RM,16,65536,16,4,486604.8,200725,0.004329306264790136,1.279866085440279e-07,1.2,281673728.0
ResNet-50,1,r50_bt1a,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,405504.0,200725,0.004329306264790136,1.279866085440279e-07,1.0,235798528.0
ResNet-50,1,r50_bt1a,WS,CHANNEL_MAJOR,WS-ChM,16,65536,16,4,462274.55999999994,200725,0.004329306264790136,1.279866085440279e-07,1.14,267910608.0
ResNet-50,2,r50_bt1b,OS,ROW_MAJOR,OS-RM,16,65536,16,4,517160.95999999996,7525,1.0,3.072571534883721e-05,1.18,371772352.0
ResNet-50,2,r50_bt1b,OS,COLUMN_MAJOR,OS-CM,16,65536,16,4,490864.6400000001,7525,1.0,3.072571534883721e-05,1.12,355807872.0
ResNet-50,2,r50_bt1b,OS,CHANNEL_MAJOR,OS-ChM,16,65536,16,4,438272.0,7525,1.0,3.072571534883721e-05,1.0,323878912.0
ResNet-50,2,r50_bt1b,IS,ROW_MAJOR,IS-RM,16,65536,16,4,438272.0,5445,1.382001836547291,4.2462995041322315e-05,1.0,323878912.0
ResNet-50,2,r50_bt1b,IS,COLUMN_MAJOR,IS-CM,16,65536,16,4,482099.2,5445,1.382001836547291,4.2462995041322315e-05,1.1,350486192.0
ResNet-50,2,r50_bt1b,IS,CHANNEL_MAJOR,IS-ChM,16,65536,16,4,534691.84,5445,1.382001836547291,4.2462995041322315e-05,1.22,382415152.0
ResNet-50,2,r50_bt1b,WS,ROW_MAJOR,WS-RM,16,65536,16,4,525926.4,200853,0.0374652108756155,1.151145404848322e-06,1.2,377094032.0
ResNet-50,2,r50_bt1b,WS,COLUMN_MAJOR,WS-CM,16,65536,16,4,438272.0,200853,0.0374652108756155,1.151145404848322e-06,1.0,323878912.0
