workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
ResNet-50,1,Input Multicast,254976.0,3397,7.562588166028849e-06,285573120.0
ResNet-50,1,Weight Multicast,402432.0,200725,1.279866085440279e-07,450723840.0
ResNet-50,1,Hybrid,268262.8050315722,869,2.9562844649021863e-05,300454341.63536084
ResNet-50,2,Input Multicast,287744.0,5445,4.2462995041322315e-05,322273280.0
ResNet-50,2,Weight Multicast,410624.0,200853,1.151145404848322e-06,459898880.0
ResNet-50,2,Hybrid,279072.2138366237,7525,3.072571534883721e-05,312560879.4970186
ResNet-50,3,Input Multicast,869376.0,4165,2.4672376470588235e-05,973701120.0
ResNet-50,3,Weight Multicast,1007616.0,200773,5.118240400850712e-07,1128529920.0
ResNet-50,3,Hybrid,874428.3333334666,869,0.00011825137859608745,979359733.3334825
ResNet-50,4,Input Multicast,1631232.0,74517,2.4822363541205363e-05,1826979840.0
ResNet-50,4,Weight Multicast,897024.0,205317,9.008937710954281e-06,1004666880.0
ResNet-50,4,Hybrid,856754.3459127964,9253,0.00019990144428833892,959564867.422332
BERT-Large,1,Input Multicast,401408.0,16517,4.063017739298904e-06,449576960.0
BERT-Large,1,Weight Multicast,229376.0,33797,1.9856455898452527e-06,256901120.0
BERT-Large,1,Hybrid,228356.67924546395,293,0.0002290404914675768,255759480.75491962
BERT-Large,2,Input Multicast,327680.0,16517,4.063017739298904e-06,367001600.0
BERT-Large,2,Weight Multicast,229376.0,132101,5.080117788661706e-07,256901120.0
BERT-Large,2,Hybrid,162480.9056606186,1061,6.325057869934024e-05,181978614.33989283
BERT-Large,3,Input Multicast,106496.0,4229,3.967182785528494e-06,119275520.0
BERT-Large,3,Weight Multicast,81920.0,33029,5.079541009415968e-07,91750400.0
BERT-Large,3,Hybrid,65196.22641515465,293,5.72601228668942e-05,73019773.5849732
BERT-Large,4,Input Multicast,106496.0,4229,3.967182785528494e-06,119275520.0
BERT-Large,4,Weight Multicast,81920.0,33029,5.079541009415968e-07,91750400.0
BERT-Large,4,Hybrid,65196.22641515465,293,5.72601228668942e-05,73019773.5849732
3D-UNet,1,Input Multicast,528672.0,16407,5.751925397696106e-07,592112640.0
3D-UNet,1,Weight Multicast,540744.0,16391,5.757540113476908e-07,605633280.0
3D-UNet,1,Hybrid,529787.7089721014,613,1.5395079934747146e-05,593362234.0487536
3D-UNet,2,Input Multicast,313344.0,5253,2.8744516276413477e-05,350945280.0
3D-UNet,2,Weight Multicast,397824.0,131149,1.1513236395245103e-06,445562880.0
3D-UNet,2,Hybrid,311461.9276730477,4645,3.2506984714747037e-05,348837358.9938134
3D-UNet,3,Input Multicast,215040.0,5253,2.8744516276413477e-05,240844800.0
3D-UNet,3,Weight Multicast,397824.0,262221,5.758308602285858e-07,445562880.0
3D-UNet,3,Hybrid,223627.5628932539,9253,1.6318485248027664e-05,250462870.44044435
3D-UNet,4,Input Multicast,397824.0,16677,9.054083108472747e-06,445562880.0
3D-UNet,4,Weight Multicast,787584.0,524311,2.879873662768853e-07,882094080.0
3D-UNet,4,Hybrid,436614.6139940352,18469,8.17558849964806e-06,489008367.6733194
RNN-T,1,Input Multicast,57344.0,1285,6.528099610894942e-06,64225280.0
RNN-T,1,Weight Multicast,69632.0,32837,2.554620702256601e-07,77987840.0
RNN-T,1,Hybrid,48982.11320757732,165,5.084004848484848e-05,54859966.7924866
RNN-T,2,Input Multicast,106496.0,2309,7.2660095279341705e-06,119275520.0
RNN-T,2,Weight Multicast,106496.0,32901,5.099302756755114e-07,119275520.0
RNN-T,2,Hybrid,87154.8176101031,165,0.00010168009696969696,97613395.72331548
RNN-T,3,Input Multicast,57344.0,2181,3.846220999541495e-06,64225280.0
RNN-T,3,Weight Multicast,57344.0,32901,2.549651378377557e-07,64225280.0
RNN-T,3,Hybrid,38002.8176101031,293,2.86300614334471e-05,42563155.72331547
RNN-T,4,Input Multicast,20480.0,645,3.2513984496124032e-06,22937600.0
RNN-T,4,Weight Multicast,26624.0,16421,1.2771158881919493e-07,29818880.0
RNN-T,4,Hybrid,16299.056603788662,165,1.271001212121212e-05,18254943.3962433
DLRM,1,Input Multicast,155648.0,8261,2.0308940806197795e-06,174325760.0
DLRM,1,Weight Multicast,81920.0,33285,5.040473486555505e-07,91750400.0
DLRM,1,Hybrid,70431.04402525775,549,3.055959198542805e-05,78882769.30828868
DLRM,2,Input Multicast,45056.0,2117,1.9812489371752483e-06,50462720.0
DLRM,2,Weight Multicast,32768.0,16517,2.539386087061815e-07,36700160.0
DLRM,2,Hybrid,24406.113207577324,293,1.431503071672355e-05,27334846.792486604
DLRM,3,Input Multicast,155648.0,8261,2.0308940806197795e-06,174325760.0
DLRM,3,Weight Multicast,81920.0,33285,5.040473486555505e-07,91750400.0
DLRM,3,Hybrid,70431.04402525775,549,3.055959198542805e-05,78882769.30828868
DLRM,4,Input Multicast,24576.0,1093,1.9187118023787743e-06,27525120.0
DLRM,4,Weight Multicast,24576.0,16453,1.27463198200936e-07,27525120.0
DLRM,4,Hybrid,14905.40880505155,293,7.157515358361775e-06,16694057.861657735
VGG-16,1,Input Multicast,287744.0,5445,4.2462995041322315e-05,322273280.0
VGG-16,1,Weight Multicast,410624.0,200853,1.151145404848322e-06,459898880.0
VGG-16,1,Hybrid,279072.2138366237,7525,3.072571534883721e-05,312560879.4970186
VGG-16,2,Input Multicast,272896.0,10005,2.3109546026986506e-05,305643520.0
VGG-16,2,Weight Multicast,237568.0,100933,2.2907374991330885e-06,266076160.0
VGG-16,2,Hybrid,182098.15408820234,4645,4.9776320344456405e-05,203949932.5787866
VGG-16,3,Input Multicast,652544.0,37065,6.237987535410766e-06,730849280.0
VGG-16,3,Weight Multicast,247808.0,52485,4.405277850814519e-06,277544960.0
VGG-16,3,Hybrid,261297.26572366306,2341,9.876591542076036e-05,292652937.6105026
VGG-16,4,Input Multicast,2390656.0,147510,1.5674259914582062e-06,2677534720.0
VGG-16,4,Weight Multicast,640000.0,34309,6.739077443236469e-06,716800000.0
VGG-16,4,Hybrid,811641.387580079,4645,4.9776320344456405e-05,909038354.0896885
GPT-2/Transformer,1,Input Multicast,356352.0,9477,7.966389363722697e-06,399114240.0
GPT-2/Transformer,1,Weight Multicast,282624.0,49733,1.5180558582832325e-06,316538880.0
GPT-2/Transformer,1,Hybrid,261464.45283030928,229,0.00032968328384279475,292840187.1699464
GPT-2/Transformer,2,Input Multicast,245760.0,9477,7.966389363722697e-06,275251200.0
GPT-2/Transformer,2,Weight Multicast,282624.0,197189,3.8286857786184825e-07,316538880.0
GPT-2/Transformer,2,Hybrid,162650.79245304127,805,9.37856795031056e-05,182168887.54740623
GPT-2/Transformer,3,Input Multicast,98304.0,2565,7.358428070175438e-06,110100480.0
GPT-2/Transformer,3,Weight Multicast,107520.0,49301,3.828394555891361e-07,120422400.0
GPT-2/Transformer,3,Hybrid,77526.69811326033,229,8.242082096069869e-05,86829901.88685156
GPT-2/Transformer,4,Input Multicast,98304.0,2565,7.358428070175438e-06,110100480.0
GPT-2/Transformer,4,Weight Multicast,107520.0,49301,3.828394555891361e-07,120422400.0
GPT-2/Transformer,4,Hybrid,77526.69811326033,229,8.242082096069869e-05,86829901.88685156
