workload,layer_idx,n_banks,bank_conflicts,cycles_lost
ResNet-50,1,2,102399.0,204798.0
ResNet-50,1,4,51199.0,102398.0
ResNet-50,1,8,25599.0,51198.0
ResNet-50,1,16,12799.0,25598.0
ResNet-50,2,2,118783.0,237566.0
ResNet-50,2,4,59391.0,118782.0
ResNet-50,2,8,29695.0,59390.0
ResNet-50,2,16,14847.0,29694.0
ResNet-50,3,2,108543.0,217086.0
ResNet-50,3,4,54271.0,108542.0
ResNet-50,3,8,27135.0,54270.0
ResNet-50,3,16,13567.0,27134.0
ResNet-50,4,2,690175.0,1380350.0
ResNet-50,4,4,345087.0,690174.0
ResNet-50,4,8,172543.0,345086.0
ResNet-50,4,16,86271.0,172542.0
BERT-Large,1,2,147455.0,294910.0
BERT-Large,1,4,73727.0,147454.0
BERT-Large,1,8,36863.0,73726.0
BERT-Large,1,16,18431.0,36862.0
BERT-Large,2,2,196607.0,393214.0
BERT-Large,2,4,98303.0,196606.0
BERT-Large,2,8,49151.0,98302.0
BERT-Large,2,16,24575.0,49150.0
BERT-Large,3,2,49151.0,98302.0
BERT-Large,3,4,24575.0,49150.0
BERT-Large,3,8,12287.0,24574.0
BERT-Large,3,16,6143.0,12286.0
BERT-Large,4,2,49151.0,98302.0
BERT-Large,4,4,24575.0,49150.0
BERT-Large,4,8,12287.0,24574.0
BERT-Large,4,16,6143.0,12286.0
3D-UNet,1,2,8335.0,16670.0
3D-UNet,1,4,4167.0,8334.0
3D-UNet,1,8,2083.0,4166.0
3D-UNet,1,16,1041.0,2082.0
3D-UNet,2,2,74751.0,149502.0
3D-UNet,2,4,37375.0,74750.0
3D-UNet,2,8,18687.0,37374.0
3D-UNet,2,16,9343.0,18686.0
3D-UNet,3,2,140287.0,280574.0
3D-UNet,3,4,70143.0,140286.0
3D-UNet,3,8,35071.0,70142.0
3D-UNet,3,16,17535.0,35070.0
3D-UNet,4,2,264447.0,528894.0
3D-UNet,4,4,132223.0,264446.0
3D-UNet,4,8,66111.0,132222.0
3D-UNet,4,16,33055.0,66110.0
RNN-T,1,2,24575.0,49150.0
RNN-T,1,4,12287.0,24574.0
RNN-T,1,8,6143.0,12286.0
RNN-T,1,16,3071.0,6142.0
RNN-T,2,2,32767.0,65534.0
RNN-T,2,4,16383.0,32766.0
RNN-T,2,8,8191.0,16382.0
RNN-T,2,16,4095.0,8190.0
RNN-T,3,2,32767.0,65534.0
RNN-T,3,4,16383.0,32766.0
RNN-T,3,8,8191.0,16382.0
RNN-T,3,16,4095.0,8190.0
RNN-T,4,2,12287.0,24574.0
RNN-T,4,4,6143.0,12286.0
RNN-T,4,8,3071.0,6142.0
RNN-T,4,16,1535.0,3070.0
DLRM,1,2,81919.0,163838.0
DLRM,1,4,40959.0,81918.0
DLRM,1,8,20479.0,40958.0
DLRM,1,16,10239.0,20478.0
DLRM,2,2,24575.0,49150.0
DLRM,2,4,12287.0,24574.0
DLRM,2,8,6143.0,12286.0
DLRM,2,16,3071.0,6142.0
DLRM,3,2,81919.0,163838.0
DLRM,3,4,40959.0,81918.0
DLRM,3,8,20479.0,40958.0
DLRM,3,16,10239.0,20478.0
DLRM,4,2,16383.0,32766.0
DLRM,4,4,8191.0,16382.0
DLRM,4,8,4095.0,8190.0
DLRM,4,16,2047.0,4094.0
VGG-16,1,2,118783.0,237566.0
VGG-16,1,4,59391.0,118782.0
VGG-16,1,8,29695.0,59390.0
VGG-16,1,16,14847.0,29694.0
VGG-16,2,2,123903.0,247806.0
VGG-16,2,4,61951.0,123902.0
VGG-16,2,8,30975.0,61950.0
VGG-16,2,16,15487.0,30974.0
VGG-16,3,2,319999.0,639998.0
VGG-16,3,4,159999.0,319998.0
VGG-16,3,8,79999.0,159998.0
VGG-16,3,16,39999.0,79998.0
VGG-16,4,2,1192191.0,2384382.0
VGG-16,4,4,596095.0,1192190.0
VGG-16,4,8,298047.0,596094.0
VGG-16,4,16,149023.0,298046.0
GPT-2/Transformer,1,2,98303.0,196606.0
GPT-2/Transformer,1,4,49151.0,98302.0
GPT-2/Transformer,1,8,24575.0,49150.0
GPT-2/Transformer,1,16,12287.0,24574.0
GPT-2/Transformer,2,2,172031.0,344062.0
GPT-2/Transformer,2,4,86015.0,172030.0
GPT-2/Transformer,2,8,43007.0,86014.0
GPT-2/Transformer,2,16,21503.0,43006.0
GPT-2/Transformer,3,2,43007.0,86014.0
GPT-2/Transformer,3,4,21503.0,43006.0
GPT-2/Transformer,3,8,10751.0,21502.0
GPT-2/Transformer,3,16,5375.0,10750.0
GPT-2/Transformer,4,2,43007.0,86014.0
GPT-2/Transformer,4,4,21503.0,43006.0
GPT-2/Transformer,4,8,10751.0,21502.0
GPT-2/Transformer,4,16,5375.0,10750.0
