workload,dataflow,cycles_lost
ResNet-50,OS,102398.0
ResNet-50,WS,102398.0
ResNet-50,IS,102398.0
ResNet-50,OS,118782.0
ResNet-50,WS,118782.0
ResNet-50,IS,118782.0
ResNet-50,OS,108542.0
ResNet-50,WS,108542.0
ResNet-50,IS,108542.0
ResNet-50,OS,690174.0
ResNet-50,WS,690174.0
ResNet-50,IS,690174.0
BERT-Large,OS,147454.0
BERT-Large,WS,147454.0
BERT-Large,IS,147454.0
BERT-Large,OS,196606.0
BERT-Large,WS,196606.0
BERT-Large,IS,196606.0
BERT-Large,OS,49150.0
BERT-Large,WS,49150.0
BERT-Large,IS,49150.0
BERT-Large,OS,49150.0
BERT-Large,WS,49150.0
BERT-Large,IS,49150.0
3D-UNet,OS,8334.0
3D-UNet,WS,8334.0
3D-UNet,IS,8334.0
3D-UNet,OS,74750.0
3D-UNet,WS,74750.0
3D-UNet,IS,74750.0
3D-UNet,OS,140286.0
3D-UNet,WS,140286.0
3D-UNet,IS,140286.0
3D-UNet,OS,264446.0
3D-UNet,WS,264446.0
3D-UNet,IS,264446.0
RNN-T,OS,24574.0
RNN-T,WS,24574.0
RNN-T,IS,24574.0
RNN-T,OS,32766.0
RNN-T,WS,32766.0
RNN-T,IS,32766.0
RNN-T,OS,32766.0
RNN-T,WS,32766.0
RNN-T,IS,32766.0
RNN-T,OS,12286.0
RNN-T,WS,12286.0
RNN-T,IS,12286.0
DLRM,OS,81918.0
DLRM,WS,81918.0
DLRM,IS,81918.0
DLRM,OS,24574.0
DLRM,WS,24574.0
DLRM,IS,24574.0
DLRM,OS,81918.0
DLRM,WS,81918.0
DLRM,IS,81918.0
DLRM,OS,16382.0
DLRM,WS,16382.0
DLRM,IS,16382.0
VGG-16,OS,118782.0
VGG-16,WS,118782.0
VGG-16,IS,118782.0
VGG-16,OS,123902.0
VGG-16,WS,123902.0
VGG-16,IS,123902.0
VGG-16,OS,319998.0
VGG-16,WS,319998.0
VGG-16,IS,319998.0
VGG-16,OS,1192190.0
VGG-16,WS,1192190.0
VGG-16,IS,1192190.0
GPT-2/Transformer,OS,98302.0
GPT-2/Transformer,WS,98302.0
GPT-2/Transformer,IS,98302.0
GPT-2/Transformer,OS,172030.0
GPT-2/Transformer,WS,172030.0
GPT-2/Transformer,IS,172030.0
GPT-2/Transformer,OS,43006.0
GPT-2/Transformer,WS,43006.0
GPT-2/Transformer,IS,43006.0
GPT-2/Transformer,OS,43006.0
GPT-2/Transformer,WS,43006.0
GPT-2/Transformer,IS,43006.0
