workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
ResNet-50,1,Static,1.0,1.0,1.279866085440279e-07,405504.0,460587008.0
ResNet-50,1,Double Buffer,1.18,0.76,1.6840343229477356e-07,364953.60000000003,415170560.00000006
ResNet-50,1,Unified Buffer,0.86,1.11,1.1530325094056566e-07,385228.8,437878784.0
ResNet-50,1,Cache-Based,1.35,0.65,1.9690247468311984e-07,324403.2,369754112.0
ResNet-50,2,Static,1.0,1.0,1.151145404848322e-06,438272.0,548667392.0
ResNet-50,2,Double Buffer,1.18,0.76,1.5146650063793708e-06,394444.8,499580928.0
ResNet-50,2,Unified Buffer,0.86,1.11,1.0370679322957853e-06,416358.39999999997,524124159.99999994
ResNet-50,2,Cache-Based,1.35,0.65,1.7709929305358797e-06,350617.60000000003,450494464.00000006
ResNet-50,3,Static,1.0,1.0,5.118240400850712e-07,1019904.0,1167982592.0
ResNet-50,3,Double Buffer,1.18,0.76,6.73452684322462e-07,917913.6,1053753344.0
ResNet-50,3,Unified Buffer,0.86,1.11,4.611027388153794e-07,968908.7999999999,1110867968.0
ResNet-50,3,Cache-Based,1.35,0.65,7.874216001308787e-07,815923.2000000001,939524096.0000001
ResNet-50,4,Static,1.0,1.0,9.008937710954281e-06,1781760.0,2457993216.0
ResNet-50,4,Double Buffer,1.18,0.76,1.1853865409150369e-05,1603584.0,2258436096.0
ResNet-50,4,Unified Buffer,0.86,1.11,8.11616009995881e-06,1692672.0,2358214656.0
ResNet-50,4,Cache-Based,1.35,0.6500000000000001,1.3859904170698893e-05,1425408.0,2058878976.0
BERT-Large,1,Static,1.0,1.0,1.9856455898452527e-06,425984.0,493879296.0
BERT-Large,1,Double Buffer,1.18,0.76,2.612691565585858e-06,383385.60000000003,446169088.00000006
BERT-Large,1,Unified Buffer,0.86,1.11,1.7888699007614883e-06,404684.8,470024192.0
BERT-Large,1,Cache-Based,1.35,0.65,3.054839368992696e-06,340787.2,398458880.0
BERT-Large,2,Static,1.0,1.0,5.080117788661706e-07,425984.0,493879296.0
BERT-Large,2,Double Buffer,1.18,0.76,6.684365511396981e-07,383385.60000000003,446169088.00000006
BERT-Large,2,Unified Buffer,0.86,1.11,4.576682692488023e-07,404684.8,470024192.0
BERT-Large,2,Cache-Based,1.35,0.65,7.815565828710315e-07,340787.2,398458880.0
BERT-Large,3,Static,1.0,1.0,5.079541009415968e-07,131072.0,150994944.0
BERT-Large,3,Double Buffer,1.18,0.76,6.6836065913368e-07,117964.8,136314880.0
BERT-Large,3,Unified Buffer,0.86,1.11,4.5761630715459165e-07,124518.4,143654912.0
BERT-Large,3,Cache-Based,1.35,0.65,7.814678476024564e-07,104857.6,121634816.0
BERT-Large,4,Static,1.0,1.0,5.079541009415968e-07,131072.0,150994944.0
BERT-Large,4,Double Buffer,1.18,0.76,6.6836065913368e-07,117964.8,136314880.0
BERT-Large,4,Unified Buffer,0.86,1.11,4.5761630715459165e-07,124518.4,143654912.0
BERT-Large,4,Cache-Based,1.35,0.65,7.814678476024564e-07,104857.6,121634816.0
3D-UNet,1,Static,1.0,1.0,5.757540113476908e-07,540960.0,608234496.0
3D-UNet,1,Double Buffer,1.18,0.76,7.57571067562751e-07,486864.0,547646976.0
3D-UNet,1,Unified Buffer,0.86,1.11,5.186973075204421e-07,513912.0,577940736.0
3D-UNet,1,Cache-Based,1.35,0.65,8.857754020733705e-07,432768.0,487059456.0
3D-UNet,2,Static,1.0,1.0,1.1513236395245103e-06,411648.0,498794496.0
3D-UNet,2,Double Buffer,1.18,0.76,1.514899525690145e-06,370483.2,452689920.0
3D-UNet,2,Unified Buffer,0.86,1.11,1.0372285040761354e-06,391065.6,475742208.0
3D-UNet,2,Cache-Based,1.35,0.65,1.7712671377300158e-06,329318.4,406585344.0
3D-UNet,3,Static,1.0,1.0,5.758308602285858e-07,411648.0,498794496.0
3D-UNet,3,Double Buffer,1.18,0.76,7.576721845112971e-07,370483.2,452689920.0
3D-UNet,3,Unified Buffer,0.86,1.11,5.187665407464737e-07,391065.6,475742208.0
3D-UNet,3,Cache-Based,1.35,0.65,8.858936311209013e-07,329318.4,406585344.0
3D-UNet,4,Static,1.0,1.0,2.879873662768853e-07,791040.0,923713536.0
3D-UNet,4,Double Buffer,1.18,0.76,3.7893074510116487e-07,711936.0,835117056.0
3D-UNet,4,Unified Buffer,0.86,1.11,2.5944807772692365e-07,751488.0,879415296.0
3D-UNet,4,Cache-Based,1.35,0.65,4.4305748657982347e-07,632832.0,746520576.0
RNN-T,1,Static,1.0,1.0,2.554620702256601e-07,81920.0,93847552.0
RNN-T,1,Double Buffer,1.18,0.76,3.361343029285001e-07,73728.0,84672512.0
RNN-T,1,Unified Buffer,0.86,1.11,2.3014600921230638e-07,77824.0,89260032.0
RNN-T,1,Cache-Based,1.35,0.65,3.930185695779386e-07,65536.0,75497472.0
RNN-T,2,Static,1.0,1.0,5.099302756755114e-07,131072.0,150994944.0
RNN-T,2,Double Buffer,1.18,0.76,6.709608890467254e-07,117964.8,136314880.0
RNN-T,2,Unified Buffer,0.86,1.11,4.5939664475271297e-07,124518.4,143654912.0
RNN-T,2,Cache-Based,1.35,0.65,7.845081164238636e-07,104857.6,121634816.0
RNN-T,3,Static,1.0,1.0,2.549651378377557e-07,81920.0,93847552.0
RNN-T,3,Double Buffer,1.18,0.76,3.354804445233627e-07,73728.0,84672512.0
RNN-T,3,Unified Buffer,0.86,1.11,2.2969832237635648e-07,77824.0,89260032.0
RNN-T,3,Cache-Based,1.35,0.65,3.922540582119318e-07,65536.0,75497472.0
RNN-T,4,Static,1.0,1.0,1.2771158881919493e-07,32768.0,37224448.0
RNN-T,4,Double Buffer,1.18,0.76,1.680415642357828e-07,29491.2,33554432.0
RNN-T,4,Unified Buffer,0.86,1.11,1.1505548542269813e-07,31129.6,35389440.0
RNN-T,4,Cache-Based,1.35,0.65,1.9647936741414604e-07,26214.4,29884416.0
DLRM,1,Static,1.0,1.0,5.040473486555505e-07,180224.0,206045184.0
DLRM,1,Double Buffer,1.18,0.76,6.632201955994086e-07,162201.6,185860096.0
DLRM,1,Unified Buffer,0.86,1.11,4.5409671050049594e-07,171212.8,195952640.0
DLRM,1,Cache-Based,1.35,0.65,7.754574594700777e-07,144179.2,165675008.0
DLRM,2,Static,1.0,1.0,2.539386087061815e-07,57344.0,65273856.0
DLRM,2,Double Buffer,1.18,0.76,3.341297482976073e-07,51609.6,58851328.0
DLRM,2,Unified Buffer,0.86,1.11,2.2877352135692025e-07,54476.799999999996,62062591.99999999
DLRM,2,Cache-Based,1.35,0.65,3.906747826248946e-07,45875.200000000004,52428800.00000001
DLRM,3,Static,1.0,1.0,5.040473486555505e-07,180224.0,206045184.0
DLRM,3,Double Buffer,1.18,0.76,6.632201955994086e-07,162201.6,185860096.0
DLRM,3,Unified Buffer,0.86,1.11,4.5409671050049594e-07,171212.8,195952640.0
DLRM,3,Cache-Based,1.35,0.65,7.754574594700777e-07,144179.2,165675008.0
DLRM,4,Static,1.0,1.0,1.27463198200936e-07,36864.0,41811968.0
DLRM,4,Double Buffer,1.18,0.76,1.677147344749158e-07,33177.6,37683200.0
DLRM,4,Unified Buffer,0.86,1.11,1.1483171009093333e-07,35020.799999999996,39747583.99999999
DLRM,4,Cache-Based,1.35,0.65,1.9609722800143997e-07,29491.2,33554432.0
VGG-16,1,Static,1.0,1.0,1.151145404848322e-06,438272.0,548667392.0
VGG-16,1,Double Buffer,1.18,0.76,1.5146650063793708e-06,394444.8,499580928.0
VGG-16,1,Unified Buffer,0.86,1.11,1.0370679322957853e-06,416358.39999999997,524124159.99999994
VGG-16,1,Cache-Based,1.35,0.65,1.7709929305358797e-06,350617.60000000003,450494464.00000006
VGG-16,2,Static,1.0,1.0,2.2907374991330885e-06,348160.0,447741952.0
VGG-16,2,Double Buffer,1.18,0.76,3.0141282883330108e-06,313344.0,408748032.0
VGG-16,2,Unified Buffer,0.86,1.11,2.063727476696476e-06,330752.0,428244992.0
VGG-16,2,Cache-Based,1.35,0.65,3.524211537127828e-06,278528.0,369754112.0
VGG-16,3,Static,1.0,1.0,4.405277850814519e-06,690176.0,830799872.0
VGG-16,3,Double Buffer,1.18,0.76,5.796418224755946e-06,621158.4,753500160.0
VGG-16,3,Unified Buffer,0.86,1.11,3.968718784517584e-06,655667.2,792150016.0
VGG-16,3,Cache-Based,1.35,0.65,6.777350539714643e-06,552140.8,676200448.0
VGG-16,4,Static,1.0,1.0,6.739077443236469e-06,2409472.0,2756411392.0
VGG-16,4,Double Buffer,1.18,0.76,8.86720716215325e-06,2168524.8000000003,2486550528.0000005
VGG-16,4,Unified Buffer,0.86,1.11,6.071240939852673e-06,2288998.4,2621480960.0
VGG-16,4,Cache-Based,1.35,0.65,1.0367811451133028e-05,1927577.6,2216689664.0
GPT-2/Transformer,1,Static,1.0,1.0,1.5180558582832325e-06,393216.0,459276288.0
GPT-2/Transformer,1,Double Buffer,1.18,0.76,1.997441918793727e-06,353894.4,415236096.0
GPT-2/Transformer,1,Unified Buffer,0.86,1.11,1.3676178903452544e-06,373555.19999999995,437256191.99999994
GPT-2/Transformer,1,Cache-Based,1.35,0.65,2.335470551204973e-06,314572.80000000005,371195904.00000006
GPT-2/Transformer,2,Static,1.0,1.0,3.8286857786184825e-07,393216.0,459276288.0
GPT-2/Transformer,2,Double Buffer,1.18,0.7600000000000001,5.037744445550635e-07,353894.4,415236096.0
GPT-2/Transformer,2,Unified Buffer,0.86,1.11,3.449266467223858e-07,373555.19999999995,437256191.99999994
GPT-2/Transformer,2,Cache-Based,1.35,0.65,5.890285813259204e-07,314572.80000000005,371195904.00000006
GPT-2/Transformer,3,Static,1.0,1.0,3.828394555891361e-07,135168.0,156106752.0
GPT-2/Transformer,3,Double Buffer,1.18,0.76,5.03736125775179e-07,121651.2,140967936.0
GPT-2/Transformer,3,Unified Buffer,0.86,1.11,3.449004104406631e-07,128409.59999999999,148537344.0
GPT-2/Transformer,3,Cache-Based,1.35,0.65,5.889837778294402e-07,108134.40000000001,125829120.00000001
GPT-2/Transformer,4,Static,1.0,1.0,3.828394555891361e-07,135168.0,156106752.0
GPT-2/Transformer,4,Double Buffer,1.18,0.76,5.03736125775179e-07,121651.2,140967936.0
GPT-2/Transformer,4,Unified Buffer,0.86,1.11,3.449004104406631e-07,128409.59999999999,148537344.0
GPT-2/Transformer,4,Cache-Based,1.35,0.65,5.889837778294402e-07,108134.40000000001,125829120.00000001
