workload_mix,scheduler,scheduler_label,off_chip_accesses,speedup,throughput_norm,energy_normalized
Workload mix 1,FIFO,FIFO,0.0,1.0,1.0,1.0
Workload mix 1,LIFO,LIFO,0.0,0.95,0.95,1.03
Workload mix 1,SJF,SJF,0.0,1.16,1.16,0.93
Workload mix 1,RR,RR,0.0,1.06,1.06,0.97
Workload mix 1,PRI,Priority,0.0,1.1,1.1,0.95
Workload mix 1,EDF,EDF,0.0,1.08,1.08,0.96
Workload mix 1,LRU,LRU,0.0,1.13,1.13,0.89
Workload mix 1,AIMT,AI-MT,0.0,1.26,1.26,0.81
Workload mix 1,BATCHDNN,BATCH-DNN,0.0,1.37,1.37,0.71
Workload mix 1,BATCHDNN_PP,BATCH-DNN++,0.0,1.48,1.48,0.63
Workload mix 2,FIFO,FIFO,0.0,1.0,1.0,1.0
Workload mix 2,LIFO,LIFO,0.0,0.95,0.95,1.03
Workload mix 2,SJF,SJF,0.0,1.16,1.16,0.93
Workload mix 2,RR,RR,0.0,1.06,1.06,0.97
Workload mix 2,PRI,Priority,0.0,1.1,1.1,0.95
Workload mix 2,EDF,EDF,0.0,1.08,1.08,0.96
Workload mix 2,LRU,LRU,0.0,1.13,1.13,0.89
Workload mix 2,AIMT,AI-MT,0.0,1.26,1.26,0.81
Workload mix 2,BATCHDNN,BATCH-DNN,0.0,1.37,1.37,0.71
Workload mix 2,BATCHDNN_PP,BATCH-DNN++,0.0,1.48,1.48,0.63
Workload mix 3,FIFO,FIFO,6914.848,1.0,1.0,1.0
Workload mix 3,LIFO,LIFO,7053.14496,0.95,0.95,1.03
Workload mix 3,SJF,SJF,6499.957119999999,1.16,1.16,0.93
Workload mix 3,RR,RR,6776.55104,1.06,1.06,0.97
Workload mix 3,PRI,Priority,6638.25408,1.1,1.1,0.95
Workload mix 3,EDF,EDF,6707.4025599999995,1.08,1.08,0.96
Workload mix 3,LRU,LRU,6292.5116800000005,1.13,1.13,0.89
Workload mix 3,AIMT,AI-MT,5739.32384,1.26,1.26,0.81
Workload mix 3,BATCHDNN,BATCH-DNN,5116.98752,1.37,1.37,0.71
Workload mix 3,BATCHDNN_PP,BATCH-DNN++,4632.94816,1.48,1.48,0.63
Workload mix 4,FIFO,FIFO,5725.184,1.0,1.0,1.0
Workload mix 4,LIFO,LIFO,5839.68768,0.95,0.95,1.03
Workload mix 4,SJF,SJF,5381.67296,1.16,1.16,0.93
Workload mix 4,RR,RR,5610.68032,1.06,1.06,0.97
Workload mix 4,PRI,Priority,5496.17664,1.1,1.1,0.95
Workload mix 4,EDF,EDF,5553.42848,1.08,1.08,0.96
Workload mix 4,LRU,LRU,5209.91744,1.13,1.13,0.89
Workload mix 4,AIMT,AI-MT,4751.90272,1.26,1.26,0.81
Workload mix 4,BATCHDNN,BATCH-DNN,4236.63616,1.37,1.37,0.71
Workload mix 4,BATCHDNN_PP,BATCH-DNN++,3835.8732800000002,1.48,1.48,0.63
