workload,mode,n_evaluations,elapsed_ms,norm_time,quality_pct,best_dram_traffic
ResNet-50,Exhaustive Search,6276,19.212100000004284,100.0,100.0,100887.6836734694
ResNet-50,Heuristic Search,2460,10.770000000775326,56.058421519630464,98.43206480293065,102494.73469387754
ResNet-50,Gradient Descent,17,294.35390000071493,1532.1276695449706,100.0,100887.6836734694
BERT-Large,Exhaustive Search,1506,4.709799999545794,100.0,100.0,8450.0
BERT-Large,Heuristic Search,894,2.7372000004106667,58.117117514005656,96.99265381083563,8712.0
BERT-Large,Gradient Descent,14,261.70879999699537,5556.686059328085,100.0,8450.0
3D-UNet,Exhaustive Search,5490,15.484200001083082,100.0,100.0,131378.5
3D-UNet,Heuristic Search,2184,6.5431000002718065,42.25662287889676,99.3049781553765,132298.0
3D-UNet,Gradient Descent,19,272.41679999860935,1759.321114294277,100.0,131378.5
RNN-T,Exhaustive Search,1296,4.2171000022790395,100.0,100.0,4228.0
RNN-T,Heuristic Search,750,2.347000001464039,55.65435963566561,96.7948717948718,4368.0
RNN-T,Gradient Descent,16,260.49549999879673,6177.12408664764,100.0,4228.0
DLRM,Exhaustive Search,1080,3.3002000018313993,100.0,100.0,2306.0
DLRM,Heuristic Search,600,1.7298000020673499,52.41500518475915,89.797507788162,2568.0
DLRM,Gradient Descent,16,261.30510000075446,7917.856489174804,100.0,2306.0
VGG-16,Exhaustive Search,3042,8.806400001049042,100.0,100.0,26300.081632653062
VGG-16,Heuristic Search,1950,5.737199997383868,65.1480740904392,94.30498313975272,27888.326530612245
VGG-16,Gradient Descent,16,269.60289999988163,3061.442813950829,100.0,26300.081632653062
GPT-2/Transformer,Exhaustive Search,2160,6.6956999980902765,100.0,100.0,6338.666666666667
GPT-2/Transformer,Heuristic Search,900,3.0489999990095384,45.53668772315312,96.94127243066885,6538.666666666667
GPT-2/Transformer,Gradient Descent,15,273.69069999986095,4087.559180935855,100.0,6338.666666666667
