workload,layer_idx,python_estimated,rtl_actual
ResNet-50,1,200725,210761
ResNet-50,2,200853,210895
ResNet-50,3,200773,210811
ResNet-50,4,205317,215582
BERT-Large,1,33797,35486
BERT-Large,2,132101,138706
BERT-Large,3,33029,34680
BERT-Large,4,33029,34680
3D-UNet,1,16391,17210
3D-UNet,2,131149,137706
3D-UNet,3,262221,275332
3D-UNet,4,524311,550526
RNN-T,1,32837,34478
RNN-T,2,32901,34546
RNN-T,3,32901,34546
RNN-T,4,16421,17242
DLRM,1,33285,34949
DLRM,2,16517,17342
DLRM,3,33285,34949
DLRM,4,16453,17275
VGG-16,1,200853,210895
VGG-16,2,100933,105979
VGG-16,3,52485,55109
VGG-16,4,34309,36024
GPT-2/Transformer,1,49733,52219
GPT-2/Transformer,2,197189,207048
GPT-2/Transformer,3,49301,51766
GPT-2/Transformer,4,49301,51766
