workload,layer_idx,layer_name,dataflow,mem_layout,combo_label,array_size,spad_depth,data_width,n_mem_ports,off_chip_accesses,cycles,speedup,throughput_gops,energy_normalized,energy_pJ
MobileNetV2,1,mv2_init,OS,ROW_MAJOR,OS-RM,16,16384,16,4,43310.72,145,1.0,1.2203255172413794e-05,1.18,5643648.0
MobileNetV2,1,mv2_init,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,41108.48,145,1.0,1.2203255172413794e-05,1.12,5379328.0
MobileNetV2,1,mv2_init,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,36704.0,145,1.0,1.2203255172413794e-05,1.0,4850688.0
MobileNetV2,1,mv2_init,IS,ROW_MAJOR,IS-RM,16,16384,16,4,36704.0,1083,0.13388734995383195,1.6338614958448755e-06,1.0,4850688.0
MobileNetV2,1,mv2_init,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,40374.4,1083,0.13388734995383195,1.6338614958448755e-06,1.1,5291408.0
MobileNetV2,1,mv2_init,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,44778.88,1083,0.13388734995383195,1.6338614958448755e-06,1.22,5820048.0
MobileNetV2,1,mv2_init,WS,ROW_MAJOR,WS-RM,16,16384,16,4,44044.799999999996,3081,0.04706264199935086,5.743174294060371e-07,1.1999999999999997,5732128.0
MobileNetV2,1,mv2_init,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,36704.0,3081,0.04706264199935086,5.743174294060371e-07,1.0,4850688.0
MobileNetV2,1,mv2_init,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,41842.56,3081,0.04706264199935086,5.743174294060371e-07,1.14,5467808.0
MobileNetV2,2,mv2_expand,OS,ROW_MAJOR,OS-RM,16,16384,16,4,42291.2,69,1.0,2.2795130434782608e-05,1.18,15279696.0
MobileNetV2,2,mv2_expand,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,40140.8,69,1.0,2.2795130434782608e-05,1.12,14522576.0
MobileNetV2,2,mv2_expand,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,35840.0,69,1.0,2.2795130434782608e-05,1.0,13008896.0
MobileNetV2,2,mv2_expand,IS,ROW_MAJOR,IS-RM,16,16384,16,4,35840.0,453,0.152317880794702,3.472105960264901e-06,1.0,13008896.0
MobileNetV2,2,mv2_expand,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,39424.0,453,0.152317880794702,3.472105960264901e-06,1.1,14270016.0
MobileNetV2,2,mv2_expand,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,43724.799999999996,453,0.152317880794702,3.472105960264901e-06,1.22,15784256.0
MobileNetV2,2,mv2_expand,WS,ROW_MAJOR,WS-RM,16,16384,16,4,43008.0,8209,0.00840540869777074,1.9160238762334023e-07,1.2,15531696.0
MobileNetV2,2,mv2_expand,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,35840.0,8209,0.00840540869777074,1.9160238762334023e-07,1.0,13008896.0
MobileNetV2,2,mv2_expand,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,40857.6,8209,0.00840540869777074,1.9160238762334023e-07,1.14,14774576.0
MobileNetV2,3,mv2_dw,OS,ROW_MAJOR,OS-RM,16,16384,16,4,155873.28,901,1.0,4.713354938956715e-05,1.18,152715152.0
MobileNetV2,3,mv2_dw,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,147947.52000000002,901,1.0,4.713354938956715e-05,1.12,145489472.0
MobileNetV2,3,mv2_dw,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,132096.0,901,1.0,4.713354938956715e-05,1.0,131039232.0
MobileNetV2,3,mv2_dw,IS,ROW_MAJOR,IS-RM,16,16384,16,4,132096.0,5445,0.1654729109274564,7.799325619834711e-06,1.0,131039232.0
MobileNetV2,3,mv2_dw,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,145305.6,5445,0.1654729109274564,7.799325619834711e-06,1.1,143081472.0
MobileNetV2,3,mv2_dw,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,161157.12,5445,0.1654729109274564,7.799325619834711e-06,1.22,157531712.0
MobileNetV2,3,mv2_dw,WS,ROW_MAJOR,WS-RM,16,16384,16,4,158515.19999999998,24905,0.03617747440273038,1.7051727765508934e-06,1.2,155123712.0
MobileNetV2,3,mv2_dw,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,132096.0,24905,0.03617747440273038,1.7051727765508934e-06,1.0,131039232.0
MobileNetV2,3,mv2_dw,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,150589.43999999997,24905,0.03617747440273038,1.7051727765508934e-06,1.14,147898032.0
MobileNetV2,4,mv2_proj,OS,ROW_MAJOR,OS-RM,16,16384,16,4,55582.719999999994,133,1.0,2.3652090225563908e-05,1.18,41385872.0
MobileNetV2,4,mv2_proj,OS,COLUMN_MAJOR,OS-CM,16,16384,16,4,52756.48,133,1.0,2.3652090225563908e-05,1.12,39321152.0
MobileNetV2,4,mv2_proj,OS,CHANNEL_MAJOR,OS-ChM,16,16384,16,4,47104.0,133,1.0,2.3652090225563908e-05,1.0,35192832.0
MobileNetV2,4,mv2_proj,IS,ROW_MAJOR,IS-RM,16,16384,16,4,47104.0,645,0.2062015503875969,4.877097674418605e-06,1.0,35192832.0
MobileNetV2,4,mv2_proj,IS,COLUMN_MAJOR,IS-CM,16,16384,16,4,51814.4,645,0.2062015503875969,4.877097674418605e-06,1.1,38633472.0
MobileNetV2,4,mv2_proj,IS,CHANNEL_MAJOR,IS-ChM,16,16384,16,4,57466.88,645,0.2062015503875969,4.877097674418605e-06,1.22,42761792.0
MobileNetV2,4,mv2_proj,WS,ROW_MAJOR,WS-RM,16,16384,16,4,56524.799999999996,24605,0.005405405405405406,1.2784913635439952e-07,1.2,42074112.0
MobileNetV2,4,mv2_proj,WS,COLUMN_MAJOR,WS-CM,16,16384,16,4,47104.0,24605,0.005405405405405406,1.2784913635439952e-07,1.0,35192832.0
MobileNetV2,4,mv2_proj,WS,CHANNEL_MAJOR,WS-ChM,16,16384,16,4,53698.56,24605,0.005405405405405406,1.2784913635439952e-07,1.1399999999999997,40009392.0
