workload,layer_idx,casting_scheme,off_chip_accesses,cycles,throughput_gops,energy_pJ
MobileNetV2,1,Input Multicast,34400.0,1083,1.6338614958448755e-06,38528000.0
MobileNetV2,1,Weight Multicast,36056.0,3081,5.743174294060371e-07,40382720.0
MobileNetV2,1,Hybrid,34066.395784200526,145,1.2203255172413794e-05,38154363.27830459
MobileNetV2,2,Input Multicast,29696.0,453,3.472105960264901e-06,33259520.0
MobileNetV2,2,Weight Multicast,33536.0,8209,1.9160238762334023e-07,37560320.0
MobileNetV2,2,Hybrid,28291.734276736468,69,2.2795130434782608e-05,31686742.389944844
MobileNetV2,3,Input Multicast,113664.0,5445,7.799325619834711e-06,127303680.0
MobileNetV2,3,Weight Multicast,69888.0,24905,1.7051727765508934e-06,78274560.0
MobileNetV2,3,Hybrid,60044.37264157539,901,4.713354938956715e-05,67249697.35856444
MobileNetV2,4,Input Multicast,28672.0,645,4.877097674418605e-06,32112640.0
MobileNetV2,4,Weight Multicast,42496.0,24605,1.2784913635439952e-07,47595520.0
MobileNetV2,4,Hybrid,26517.820754735825,133,2.3652090225563908e-05,29699959.245304123
EfficientDet-Lite0,1,Input Multicast,88320.0,2469,1.4930741190765492e-05,98918400.0
EfficientDet-Lite0,1,Weight Multicast,118080.0,51259,7.191712674847344e-07,132249600.0
EfficientDet-Lite0,1,Hybrid,84689.88404091899,2053,1.795616171456405e-05,94852670.12582926
EfficientDet-Lite0,2,Input Multicast,52640.0,1845,9.990243902439025e-06,58956800.0
EfficientDet-Lite0,2,Weight Multicast,47360.0,16097,1.14505808535752e-06,53043200.0
EfficientDet-Lite0,2,Hybrid,38478.39720914345,757,2.4348745046235137e-05,43095804.87424066
EfficientDet-Lite0,3,Input Multicast,36096.0,661,4.957337367624811e-06,40427520.0
EfficientDet-Lite0,3,Weight Multicast,52224.0,25621,1.2789508606221459e-07,58490880.0
EfficientDet-Lite0,3,Hybrid,35396.02672957796,165,1.985939393939394e-05,39643549.93712732
EfficientDet-Lite0,4,Input Multicast,88128.0,4713,3.12870782940802e-06,98703360.0
EfficientDet-Lite0,4,Weight Multicast,37632.0,6693,2.2031376064545047e-06,42147840.0
EfficientDet-Lite0,4,Hybrid,39232.38246860261,613,2.4054812398042413e-05,43940268.36483493
DS-CNN-KWS,1,Input Multicast,50948.0,825,1.0947490909090909e-06,57061760.0
DS-CNN-KWS,1,Weight Multicast,51104.0,793,1.1389255989911729e-06,57236480.0
DS-CNN-KWS,1,Hybrid,50624.63268966279,73,1.2372164383561643e-05,56699588.612422325
DS-CNN-KWS,2,Input Multicast,99584.0,3093,1.8688248302618817e-05,111534080.0
DS-CNN-KWS,2,Weight Multicast,109568.0,50325,1.1485892101341282e-06,122716160.0
DS-CNN-KWS,2,Hybrid,78888.49213841818,2341,2.469147885519009e-05,88355111.19502836
DS-CNN-KWS,3,Input Multicast,101376.0,4805,5.8921023933402705e-06,113541120.0
DS-CNN-KWS,3,Weight Multicast,55296.0,12581,2.250341944201574e-06,61931520.0
DS-CNN-KWS,3,Hybrid,52950.69811326031,613,4.618523980424143e-05,59304781.88685155
DS-CNN-KWS,4,Input Multicast,155136.0,9269,1.5272171755313411e-06,173752320.0
DS-CNN-KWS,4,Weight Multicast,49152.0,6725,2.1049481040892192e-06,55050240.0
DS-CNN-KWS,4,Hybrid,56813.10377367913,1189,1.1905614802354919e-05,63630676.22652063
ResNet-18,1,Input Multicast,287744.0,5445,4.2462995041322315e-05,322273280.0
ResNet-18,1,Weight Multicast,410624.0,200853,1.151145404848322e-06,459898880.0
ResNet-18,1,Hybrid,279072.2138366237,7525,3.072571534883721e-05,312560879.4970186
ResNet-18,2,Input Multicast,186624.0,5397,2.142032684824903e-05,209018880.0
ResNet-18,2,Weight Multicast,168960.0,50469,2.290624026630209e-06,189235200.0
ResNet-18,2,Hybrid,141225.07704410117,2341,4.938295771038018e-05,158172086.2893933
ResNet-18,3,Input Multicast,351360.0,18633,6.204341973917243e-06,393523200.0
ResNet-18,3,Weight Multicast,148992.0,26245,4.4048582206134505e-06,166871040.0
ResNet-18,3,Hybrid,155736.63286183152,1189,9.722918755256518e-05,174425028.8052513
ResNet-18,4,Input Multicast,1207872.0,73782,1.566852403025128e-06,1352816640.0
ResNet-18,4,Weight Multicast,332544.0,17157,6.73809547123623e-06,372449280.0
ResNet-18,4,Hybrid,418364.6937900395,2341,4.938295771038018e-05,468568457.04484427
