workload,dataflow,cycles_lost
MobileNetV2,OS,1966.0
MobileNetV2,WS,1966.0
MobileNetV2,IS,1966.0
MobileNetV2,OS,5630.0
MobileNetV2,WS,5630.0
MobileNetV2,IS,5630.0
MobileNetV2,OS,53758.0
MobileNetV2,WS,53758.0
MobileNetV2,IS,53758.0
MobileNetV2,OS,15358.0
MobileNetV2,WS,15358.0
MobileNetV2,IS,15358.0
EfficientDet-Lite0,OS,31358.0
EfficientDet-Lite0,WS,31358.0
EfficientDet-Lite0,IS,31358.0
EfficientDet-Lite0,OS,19518.0
EfficientDet-Lite0,WS,19518.0
EfficientDet-Lite0,IS,19518.0
EfficientDet-Lite0,OS,14846.0
EfficientDet-Lite0,WS,14846.0
EfficientDet-Lite0,IS,14846.0
EfficientDet-Lite0,OS,40062.0
EfficientDet-Lite0,WS,40062.0
EfficientDet-Lite0,IS,40062.0
DS-CNN-KWS,OS,678.0
DS-CNN-KWS,WS,678.0
DS-CNN-KWS,IS,678.0
DS-CNN-KWS,OS,43518.0
DS-CNN-KWS,WS,43518.0
DS-CNN-KWS,IS,43518.0
DS-CNN-KWS,OS,43006.0
DS-CNN-KWS,WS,43006.0
DS-CNN-KWS,IS,43006.0
DS-CNN-KWS,OS,76798.0
DS-CNN-KWS,WS,76798.0
DS-CNN-KWS,IS,76798.0
ResNet-18,OS,118782.0
ResNet-18,WS,118782.0
ResNet-18,IS,118782.0
ResNet-18,OS,61950.0
ResNet-18,WS,61950.0
ResNet-18,IS,61950.0
ResNet-18,OS,159998.0
ResNet-18,WS,159998.0
ResNet-18,IS,159998.0
ResNet-18,OS,596094.0
ResNet-18,WS,596094.0
ResNet-18,IS,596094.0
TinyBERT,OS,40958.0
TinyBERT,WS,40958.0
TinyBERT,IS,40958.0
TinyBERT,OS,65534.0
TinyBERT,WS,65534.0
TinyBERT,IS,65534.0
TinyBERT,OS,16382.0
TinyBERT,WS,16382.0
TinyBERT,IS,16382.0
TinyBERT,OS,40958.0
TinyBERT,WS,40958.0
TinyBERT,IS,40958.0
U-Net,OS,2334.0
U-Net,WS,2334.0
U-Net,IS,2334.0
U-Net,OS,69630.0
U-Net,WS,69630.0
U-Net,IS,69630.0
U-Net,OS,102398.0
U-Net,WS,102398.0
U-Net,IS,102398.0
U-Net,OS,140286.0
U-Net,WS,140286.0
U-Net,IS,140286.0
SSD-MobileNet,OS,14990.0
SSD-MobileNet,WS,14990.0
SSD-MobileNet,IS,14990.0
SSD-MobileNet,OS,40062.0
SSD-MobileNet,WS,40062.0
SSD-MobileNet,IS,40062.0
SSD-MobileNet,OS,149054.0
SSD-MobileNet,WS,149054.0
SSD-MobileNet,IS,149054.0
SSD-MobileNet,OS,296062.0
SSD-MobileNet,WS,296062.0
SSD-MobileNet,IS,296062.0
