workload,layer_idx,scheme,normalized_area,execution_time_norm,throughput_gops,off_chip_accesses,energy_pJ
MobileNetV2,1,Static,1.0,1.0,1.2203255172413794e-05,36704.0,41550848.0
MobileNetV2,1,Double Buffer,1.18,0.76,1.6056914700544464e-05,33033.6,37440000.0
MobileNetV2,1,Unified Buffer,0.86,1.11,1.0993923578751165e-05,34868.799999999996,39495423.99999999
MobileNetV2,1,Cache-Based,1.35,0.65,1.8774238726790452e-05,29363.2,33329152.0
MobileNetV2,2,Static,1.0,1.0,2.2795130434782608e-05,35840.0,40534016.0
MobileNetV2,2,Double Buffer,1.18,0.76,2.999359267734554e-05,32256.0,36519936.0
MobileNetV2,2,Unified Buffer,0.86,1.11,2.0536153544849196e-05,34048.0,38526976.0
MobileNetV2,2,Cache-Based,1.35,0.65,3.506943143812709e-05,28672.0,32505856.0
MobileNetV2,3,Static,1.0,1.0,4.713354938956715e-05,132096.0,158564352.0
MobileNetV2,3,Double Buffer,1.18,0.76,6.201782814416731e-05,118886.40000000001,143769600.0
MobileNetV2,3,Unified Buffer,0.86,1.11,4.246265710771814e-05,125491.2,151166976.0
MobileNetV2,3,Cache-Based,1.35,0.65,7.251315290702638e-05,105676.8,128974848.0
MobileNetV2,4,Static,1.0,1.0,2.3652090225563908e-05,47104.0,53542912.0
MobileNetV2,4,Double Buffer,1.18,0.76,3.1121171349426194e-05,42393.6,48267264.0
MobileNetV2,4,Unified Buffer,0.86,1.11,2.1308189392399916e-05,44748.799999999996,50905087.99999999
MobileNetV2,4,Cache-Based,1.35,0.65,3.6387831116252164e-05,37683.200000000004,42991616.00000001
EfficientDet-Lite0,1,Static,1.0,1.0,1.795616171456405e-05,126720.0,151142400.0
EfficientDet-Lite0,1,Double Buffer,1.18,0.76,2.3626528571794807e-05,114048.0,136949760.0
EfficientDet-Lite0,1,Unified Buffer,0.86,1.11,1.6176722265373017e-05,120384.0,144046080.0
EfficientDet-Lite0,1,Cache-Based,1.35,0.65,2.7624864176252386e-05,101376.0,122757120.0
EfficientDet-Lite0,2,Static,1.0,1.0,2.4348745046235137e-05,64640.0,77004800.0
EfficientDet-Lite0,2,Double Buffer,1.18,0.7600000000000001,3.2037822429256755e-05,58176.0,69765120.0
EfficientDet-Lite0,2,Unified Buffer,0.86,1.11,2.193580634795958e-05,61408.0,73384960.0
EfficientDet-Lite0,2,Cache-Based,1.35,0.65,3.745960776343867e-05,51712.0,62525440.0
EfficientDet-Lite0,3,Static,1.0,1.0,1.985939393939394e-05,55296.0,62750720.0
EfficientDet-Lite0,3,Double Buffer,1.18,0.76,2.6130781499202552e-05,49766.4,56557568.0
EfficientDet-Lite0,3,Unified Buffer,0.86,1.11,1.789134589134589e-05,52531.2,59654144.0
EfficientDet-Lite0,3,Cache-Based,1.35,0.65,3.055291375291375e-05,44236.8,50364416.0
EfficientDet-Lite0,4,Static,1.0,1.0,2.4054812398042413e-05,92928.0,107765760.0
EfficientDet-Lite0,4,Double Buffer,1.18,0.76,3.165106894479265e-05,83635.2,97357824.0
