workload_mix,scheduler,scheduler_label,off_chip_accesses,speedup,throughput_norm,energy_normalized
Workload mix 1,FIFO,FIFO,2841.312,1.0,1.0,1.0
Workload mix 1,LIFO,LIFO,2898.13824,0.95,0.95,1.03
Workload mix 1,SJF,SJF,2670.83328,1.16,1.16,0.93
Workload mix 1,RR,RR,2784.4857599999996,1.06,1.06,0.97
Workload mix 1,PRI,Priority,2727.65952,1.1,1.1,0.95
Workload mix 1,EDF,EDF,2756.0726400000003,1.08,1.08,0.96
Workload mix 1,LRU,LRU,2585.59392,1.13,1.13,0.89
Workload mix 1,AIMT,AI-MT,2358.28896,1.26,1.26,0.81
Workload mix 1,BATCHDNN,BATCH-DNN,2102.5708799999998,1.37,1.37,0.71
Workload mix 1,BATCHDNN_PP,BATCH-DNN++,1903.67904,1.48,1.48,0.63
Workload mix 2,FIFO,FIFO,3214.704,1.0,1.0,1.0
Workload mix 2,LIFO,LIFO,3278.9980800000003,0.95,0.95,1.03
Workload mix 2,SJF,SJF,3021.82176,1.16,1.16,0.93
Workload mix 2,RR,RR,3150.40992,1.06,1.06,0.97
Workload mix 2,PRI,Priority,3086.11584,1.1,1.1,0.95
Workload mix 2,EDF,EDF,3118.2628799999998,1.08,1.08,0.96
Workload mix 2,LRU,LRU,2925.3806400000003,1.13,1.13,0.89
Workload mix 2,AIMT,AI-MT,2668.20432,1.26,1.26,0.81
Workload mix 2,BATCHDNN,BATCH-DNN,2378.88096,1.37,1.37,0.71
Workload mix 2,BATCHDNN_PP,BATCH-DNN++,2153.85168,1.48,1.48,0.63
Workload mix 3,FIFO,FIFO,0.0,1.0,1.0,1.0
Workload mix 3,LIFO,LIFO,0.0,0.95,0.95,1.03
Workload mix 3,SJF,SJF,0.0,1.16,1.16,0.93
Workload mix 3,RR,RR,0.0,1.06,1.06,0.97
Workload mix 3,PRI,Priority,0.0,1.1,1.1,0.95
Workload mix 3,EDF,EDF,0.0,1.08,1.08,0.96
Workload mix 3,LRU,LRU,0.0,1.13,1.13,0.89
Workload mix 3,AIMT,AI-MT,0.0,1.26,1.26,0.81
Workload mix 3,BATCHDNN,BATCH-DNN,0.0,1.37,1.37,0.71
Workload mix 3,BATCHDNN_PP,BATCH-DNN++,0.0,1.48,1.48,0.63
Workload mix 4,FIFO,FIFO,0.0,1.0,1.0,1.0
Workload mix 4,LIFO,LIFO,0.0,0.95,0.95,1.03
Workload mix 4,SJF,SJF,0.0,1.16,1.16,0.93
Workload mix 4,RR,RR,0.0,1.06,1.06,0.97
Workload mix 4,PRI,Priority,0.0,1.1,1.1,0.95
Workload mix 4,EDF,EDF,0.0,1.08,1.08,0.96
Workload mix 4,LRU,LRU,0.0,1.13,1.13,0.89
Workload mix 4,AIMT,AI-MT,0.0,1.26,1.26,0.81
Workload mix 4,BATCHDNN,BATCH-DNN,0.0,1.37,1.37,0.71
Workload mix 4,BATCHDNN_PP,BATCH-DNN++,0.0,1.48,1.48,0.63
