workload,workload_mix,scheme,off_chip_accesses,speedup,throughput,energy_pJ
MobileNetV2,Workload mix 1,Static,36704.0,1.0,1.2203255172413794e-05,5293056.0
MobileNetV2,Workload mix 1,Dynamic,24591.68,1.48,1.8060817655172417e-05,3334625.28
ResNet-18,Workload mix 1,Static,438272.0,1.0,3.072571534883721e-05,381681664.0
ResNet-18,Workload mix 1,Dynamic,293642.24,1.48,4.547405871627907e-05,240459448.32
EfficientDet-Lite0,Workload mix 1,Static,126720.0,1.0,1.795616171456405e-05,88678400.0
EfficientDet-Lite0,Workload mix 1,Dynamic,84902.40000000001,1.48,2.6575119337554794e-05,55867392.0
DS-CNN-KWS,Workload mix 2,Static,51536.0,1.0,1.2372164383561643e-05,1974784.0
DS-CNN-KWS,Workload mix 2,Dynamic,34529.12,1.48,1.8310803287671233e-05,1244113.92
TinyBERT,Workload mix 2,Static,147456.0,1.0,0.00010168009696969696,100139008.0
TinyBERT,Workload mix 2,Dynamic,98795.52,1.48,0.0001504865435151515,63087575.04
U-Net,Workload mix 2,Static,266816.0,1.0,2.606956906077348e-05,7591936.0
U-Net,Workload mix 2,Dynamic,178766.72,1.48,3.858296220994475e-05,4782919.68
SSD-MobileNet,Workload mix 2,Static,53088.0,1.0,2.1709468189233278e-05,40236032.0
SSD-MobileNet,Workload mix 2,Dynamic,35568.96,1.48,3.213001292006525e-05,25348700.16
