workload,mode,n_evaluations,elapsed_ms,norm_time,quality_pct,best_dram_traffic
MobileNetV2,Exhaustive Search,4464,24.606856000900734,100.0,100.0,33456.5
MobileNetV2,Heuristic Search,1884,10.633566998876631,43.21383844603061,97.39316488122962,34352.0
MobileNetV2,Systolic Optimizer,19,525.6494560017018,2136.1910517233914,100.0,33456.5
EfficientDet-Lite0,Exhaustive Search,6384,33.90335899894126,100.0,100.0,51675.22
EfficientDet-Lite0,Heuristic Search,2832,16.153833999851486,47.64670662973525,97.31518573703487,53100.88
EfficientDet-Lite0,Systolic Optimizer,16,537.6979680004297,1585.9725522100068,100.0,51675.22
DS-CNN-KWS,Exhaustive Search,5736,30.976513000496197,100.0,100.0,25192.0
DS-CNN-KWS,Heuristic Search,1776,10.82701400082442,34.95233308103784,96.89230769230768,26000.0
DS-CNN-KWS,Systolic Optimizer,15,553.1878629990388,1785.8300028482145,100.0,25192.0
ResNet-18,Exhaustive Search,3324,20.920906001265394,100.0,100.0,26300.081632653062
ResNet-18,Heuristic Search,2250,16.95056199969258,81.02212207572336,94.30498313975272,27888.326530612245
ResNet-18,Systolic Optimizer,18,484.8498559986183,2317.537567298913,100.0,26300.081632653062
TinyBERT,Exhaustive Search,1296,6.87590899906354,100.0,100.0,4228.0
TinyBERT,Heuristic Search,750,4.767905000335304,69.34217717227882,96.7948717948718,4368.0
TinyBERT,Systolic Optimizer,14,544.9964170002204,7926.172627858306,100.0,4228.0
U-Net,Exhaustive Search,6990,38.2340350006416,100.0,100.0,131540.5
U-Net,Heuristic Search,3096,18.88920099736424,49.404152601333514,98.94280384517022,132946.0
U-Net,Systolic Optimizer,15,530.9660200000508,1388.7260917952833,100.0,131540.5
SSD-MobileNet,Exhaustive Search,3366,23.533143998065498,100.0,100.0,13744.64
SSD-MobileNet,Heuristic Search,2292,32.88805400006822,139.75206203969913,89.09724527049451,15426.56
SSD-MobileNet,Systolic Optimizer,16,571.8681860016659,2430.054335488175,100.0,13744.64
