workload,layer_idx,python_estimated,rtl_actual
MobileNetV2,1,145,150
MobileNetV2,2,69,71
MobileNetV2,3,901,937
MobileNetV2,4,133,138
EfficientDet-Lite0,1,2053,2135
EfficientDet-Lite0,2,757,787
EfficientDet-Lite0,3,165,171
EfficientDet-Lite0,4,613,637
DS-CNN-KWS,1,73,75
DS-CNN-KWS,2,2341,2434
DS-CNN-KWS,3,613,637
DS-CNN-KWS,4,1189,1236
ResNet-18,1,7525,7826
ResNet-18,2,2341,2434
ResNet-18,3,1189,1236
ResNet-18,4,2341,2434
TinyBERT,1,165,171
TinyBERT,2,549,570
TinyBERT,3,165,171
TinyBERT,4,165,171
U-Net,1,181,188
U-Net,2,2341,2434
U-Net,3,4645,4830
U-Net,4,9253,9623
SSD-MobileNet,1,613,637
SSD-MobileNet,2,613,637
SSD-MobileNet,3,1189,1236
SSD-MobileNet,4,2341,2434
